ps_code,special_audit_criteria
0101258-09,out_of_time
0102393-08,out_of_time
0101019-02,out_of_time
0108477-05,out_of_time
0101234-07,out_of_time
0101024-03,out_of_time
0101261-02,out_of_time
0101311-02,out_of_time
0101232-01,out_of_time
0105442-01,out_of_time
0112505-02,out_of_time
0101193-01,out_of_time
0101257-04,out_of_time
0112507-01,out_of_time
0101272-07,out_of_time
0101080-06,out_of_time
0101260-12,out_of_time
0101233-08,out_of_time
0112506-01,out_of_time
0101104-01,out_of_time
0101151-02,out_of_time
0101251-17,out_of_time
0102394-02,out_of_time
0105444-08,out_of_time
0101065-05,out_of_time
0101261-19,out_of_time
0101266-02,out_of_time
0101110-05,out_of_time
0101032-02,out_of_time
0101358-01,out_of_time
0101363-16,out_of_time
0104419-04,out_of_time
0101130-04,out_of_time
0101174-15,out_of_time
0101121-01,out_of_time
0101234-17,out_of_time
0101253-04,out_of_time
0101223-04,out_of_time
0101335-21,out_of_time
0101215-06,out_of_time
0101247-05,out_of_time
0101290-13,out_of_time
0101109-01,out_of_time
0101167-07,out_of_time
0101100-03,out_of_time
0101147-04,out_of_time
0101254-09,out_of_time
0101193-03,out_of_time
0101264-10,out_of_time
0101310-03,out_of_time
0101559-06,out_of_time
0101211-05,out_of_time
0101214-01,out_of_time
0101026-09,out_of_time
0101126-06,out_of_time
0101019-06,out_of_time
0101028-01,out_of_time
0101162-04,out_of_time
0101155-05,out_of_time
0110494-05,out_of_time
0101090-06,out_of_time
0101349-05,out_of_time
0101077-08,out_of_time
0101343-07,out_of_time
0101152-09,out_of_time
0101064-08,out_of_time
0101335-12,out_of_time
0101268-03,out_of_time
0101302-03,out_of_time
0101350-10,out_of_time
0101057-08,out_of_time
0101111-09,out_of_time
0101359-06,out_of_time
0101222-01,out_of_time
0101105-06,out_of_time
0101196-01,out_of_time
0101080-04,out_of_time
0101151-13,out_of_time
0101310-11,out_of_time
0101113-06,out_of_time
0101345-12,out_of_time
0101232-02,out_of_time
0102386-01,out_of_time
0101177-07,out_of_time
0101110-02,out_of_time
0101168-02,out_of_time
0101336-06,out_of_time
0113510-03,out_of_time
0101076-08,out_of_time
0101115-07,out_of_time
0101302-13,out_of_time
0101026-08,out_of_time
0101127-09,out_of_time
0101018-04,out_of_time
0101205-06,out_of_time
0101294-11,out_of_time
0103409-04,out_of_time
0101348-12,out_of_time
0101224-05,out_of_time
0101297-04,out_of_time
0101082-09,out_of_time
0101043-01,out_of_time
0101038-01,out_of_time
0101228-01,out_of_time
0101053-03,out_of_time
0101021-03,out_of_time
0101291-08,out_of_time
0105444-02,out_of_time
0101061-10,out_of_time
0103405-07,out_of_time
0101137-05,out_of_time
0101173-06,out_of_time
0114515-05,out_of_time
0101270-10,out_of_time
0101225-02,out_of_time
0101266-09,out_of_time
0101212-04,out_of_time
0103404-09,out_of_time
0102386-07,out_of_time
0101153-10,out_of_time
0101153-03,out_of_time
0101015-07,out_of_time
0101372-11,out_of_time
0101144-07,out_of_time
0101335-14,out_of_time
0104418-03,out_of_time
0101062-14,out_of_time
0101067-07,out_of_time
0101084-06,out_of_time
0101272-02,out_of_time
0101101-01,out_of_time
0101303-05,out_of_time
0105443-02,out_of_time
0101225-06,out_of_time
0101238-04,out_of_time
0101559-11,out_of_time
0101113-01,out_of_time
0101009-04,out_of_time
0101061-05,out_of_time
0101256-10,out_of_time
0101264-13,out_of_time
0103409-03,out_of_time
0101136-14,out_of_time
0104426-13,out_of_time
0101119-03,out_of_time
0112501-04,out_of_time
0101076-01,out_of_time
0101179-04,out_of_time
0601034-02,out_of_time
0601015-01,out_of_time
0603081-13,out_of_time
0601006-02,out_of_time
0601001-06,out_of_time
0606170-03,out_of_time
0607186-05,out_of_time
0603076-03,out_of_time
0609233-05,out_of_time
0618393-01,out_of_time
0601017-16,out_of_time
0601017-09,out_of_time
0614319-06,out_of_time
0601030-13,out_of_time
0610251-05,out_of_time
0605143-03,out_of_time
0601008-03,out_of_time
0601045-03,out_of_time
0605127-02,out_of_time
0601012-09,out_of_time
0602063-07,out_of_time
0602063-08,out_of_time
0603088-03,out_of_time
0602068-05,out_of_time
0602059-04,out_of_time
0602068-08,out_of_time
0612274-01,out_of_time
0613303-01,out_of_time
0613289-01,out_of_time
0609230-07,out_of_time
0605140-02,out_of_time
0602067-02,out_of_time
0603077-04,out_of_time
0607185-05,out_of_time
0611268-02,out_of_time
0603087-02,out_of_time
0607174-04,out_of_time
0601007-01,out_of_time
0601006-07,out_of_time
0601030-06,out_of_time
0602067-04,out_of_time
0605146-04,out_of_time
0602057-04,out_of_time
0603081-05,out_of_time
0612274-03,out_of_time
0602062-02,out_of_time
0602056-04,out_of_time
0605141-03,out_of_time
0602060-03,out_of_time
0602065-09,out_of_time
0603081-09,out_of_time
0617379-02,out_of_time
0601016-04,out_of_time
0605129-06,out_of_time
0601034-06,out_of_time
0602055-02,out_of_time
0601011-03,out_of_time
0601010-11,out_of_time
0601046-04,out_of_time
0603080-01,out_of_time
0602066-02,out_of_time
0602052-02,out_of_time
0601038-06,out_of_time
0605143-07,out_of_time
0605139-03,out_of_time
0601040-01,out_of_time
0602058-04,out_of_time
0607179-09,out_of_time
0602068-09,out_of_time
0613301-01,out_of_time
0601021-04,out_of_time
0613297-03,out_of_time
0601027-06,out_of_time
0603078-04,out_of_time
0603081-03,out_of_time
0603095-01,out_of_time
0606172-04,out_of_time
0602054-02,out_of_time
0617381-04,out_of_time
0622456-02,out_of_time
0602049-12,out_of_time
0602064-10,out_of_time
0602067-05,out_of_time
0601008-10,out_of_time
0615326-02,out_of_time
0602062-08,out_of_time
0601046-01,out_of_time
0617376-02,out_of_time
0617381-03,out_of_time
0601011-11,out_of_time
0601021-05,out_of_time
0601021-01,out_of_time
0602065-01,out_of_time
0603082-06,out_of_time
0602062-09,out_of_time
0601022-02,out_of_time
0602066-04,out_of_time
0602060-09,out_of_time
0617376-08,out_of_time
0618391-04,out_of_time
0603082-03,out_of_time
0605141-06,out_of_time
0618391-07,out_of_time
0601008-17,out_of_time
0601039-02,out_of_time
0602063-01,out_of_time
0602065-03,out_of_time
0602064-04,out_of_time
0606170-01,out_of_time
0601006-04,out_of_time
0601034-07,out_of_time
0617380-02,out_of_time
0618391-10,out_of_time
0603082-04,out_of_time
0601018-11,out_of_time
3201012-07,out_of_time
3203112-01,out_of_time
3201031-07,out_of_time
3201047-22,out_of_time
3211325-01,out_of_time
3211320-01,out_of_time
3201050-05,out_of_time
3201007-04,out_of_time
3201001-06,out_of_time
3201034-06,out_of_time
3202070-07,out_of_time
3201030-03,out_of_time
3201004-02,out_of_time
3201015-12,out_of_time
3202080-02,out_of_time
3202075-06,out_of_time
3201024-18,out_of_time
3201021-04,out_of_time
3202086-01,out_of_time
3201011-12,out_of_time
3207216-06,out_of_time
3201051-10,out_of_time
3201037-02,out_of_time
3201014-06,out_of_time
3205149-03,out_of_time
3201051-06,out_of_time
3201012-14,out_of_time
3201046-11,out_of_time
3202086-05,out_of_time
3201045-07,out_of_time
3201009-03,out_of_time
3202052-06,out_of_time
3201026-04,out_of_time
3204131-06,out_of_time
3201021-13,out_of_time
3201023-02,out_of_time
3201046-13,out_of_time
3202074-08,out_of_time
3201004-06,out_of_time
3202090-02,out_of_time
3201021-16,out_of_time
3203112-08,out_of_time
3202084-01,out_of_time
3202092-11,out_of_time
3204139-01,out_of_time
3201009-04,out_of_time
3207216-05,out_of_time
3201024-09,out_of_time
3201009-05,out_of_time
3201015-21,out_of_time
3202055-04,out_of_time
3201026-07,out_of_time
3201003-15,out_of_time
3202092-15,out_of_time
3207217-02,out_of_time
3201033-05,out_of_time
3201007-06,out_of_time
3205156-02,out_of_time
3201001-14,out_of_time
3201012-04,out_of_time
3201008-11,out_of_time
3202066-01,out_of_time
3202092-10,out_of_time
3203106-04,out_of_time
3201013-03,out_of_time
3201039-08,out_of_time
3202070-08,out_of_time
3201025-03,out_of_time
3201046-19,out_of_time
3203108-06,out_of_time
3201012-16,out_of_time
3202081-02,out_of_time
3201039-02,out_of_time
3201048-01,out_of_time
3201024-08,out_of_time
3201031-15,out_of_time
3201023-05,out_of_time
3206173-02,out_of_time
3201048-03,out_of_time
3201015-03,out_of_time
3201005-04,out_of_time
3201042-11,out_of_time
3201027-12,out_of_time
3201024-11,out_of_time
3201024-05,out_of_time
3202066-06,out_of_time
3201026-02,out_of_time
3201010-11,out_of_time
3201042-03,out_of_time
3201027-16,out_of_time
3201040-03,out_of_time
3211317-06,out_of_time
2113262-01,out_of_time
2101029-02,out_of_time
2101046-07,out_of_time
2101035-05,out_of_time
2101003-09,out_of_time
2110211-01,out_of_time
2101019-09,out_of_time
2101013-01,out_of_time
2101015-07,out_of_time
2101017-03,out_of_time
2101049-01,out_of_time
2101002-11,out_of_time
2102053-16,out_of_time
2101039-06,out_of_time
2102053-17,out_of_time
2101019-12,out_of_time
2113272-02,out_of_time
2103068-03,out_of_time
2101018-02,out_of_time
2101037-08,out_of_time
2101005-07,out_of_time
2101041-03,out_of_time
2101031-19,out_of_time
2101022-06,out_of_time
2101031-17,out_of_time
2101049-02,out_of_time
2101031-12,out_of_time
2101031-16,out_of_time
2110221-03,out_of_time
2101020-07,out_of_time
2102053-12,out_of_time
2101010-01,out_of_time
2101022-01,out_of_time
2101016-01,out_of_time
2102053-06,out_of_time
2101028-04,out_of_time
2101043-02,out_of_time
2101002-05,out_of_time
2101001-11,out_of_time
2101036-09,out_of_time
2106115-01,out_of_time
1101016-01,initially_quarantined
1103067-02,initially_quarantined
1110185-03,initially_quarantined
1101018-02,initially_quarantined
1115331-04,initially_quarantined
1114289-02,initially_quarantined
1113279-02,initially_quarantined
1116366-02,initially_quarantined
1117386-04,initially_quarantined
1101039-01,initially_quarantined
1116369-04,initially_quarantined
1111225-01,initially_quarantined
1115341-01,initially_quarantined
1110185-07,initially_quarantined
1115331-06,initially_quarantined
1110209-02,initially_quarantined
1110190-02,initially_quarantined
3102026-01,initially_quarantined
3104100-02,initially_quarantined
2901011-03,initially_quarantined
2901003-01,initially_quarantined
2901014-05,initially_quarantined
3001013-01,initially_quarantined
3001003-08,initially_quarantined
3004090-17,initially_quarantined
3001012-09,initially_quarantined
3001013-12,initially_quarantined
3001016-28,initially_quarantined
3201040-04,initially_quarantined
3201045-01,initially_quarantined
3203112-01,initially_quarantined
3201034-10,initially_quarantined
3201030-03,initially_quarantined
3203107-04,initially_quarantined
3201027-01,initially_quarantined
3213361-10,initially_quarantined
3211317-03,initially_quarantined
3203119-02,initially_quarantined
3203122-04,initially_quarantined
3201026-03,initially_quarantined
3204132-03,initially_quarantined
2308254-01,initially_quarantined
2307199-01,initially_quarantined
2301033-02,initially_quarantined
2307191-01,initially_quarantined
2307208-02,initially_quarantined
2502023-12,initially_quarantined
3402025-04,initially_quarantined
3404045-02,initially_quarantined
3406063-04,initially_quarantined
3406062-11,initially_quarantined
3301001-06,initially_quarantined
3301029-02,initially_quarantined
0301027-01,initially_quarantined
0302046-05,initially_quarantined
0304082-01,initially_quarantined
0301010-02,initially_quarantined
0302050-03,initially_quarantined
0306113-01,initially_quarantined
0303069-07,initially_quarantined
2701015-17,initially_quarantined
2701009-02,initially_quarantined
2701020-05,initially_quarantined
2701032-07,initially_quarantined
2701033-21,initially_quarantined
2701007-04,initially_quarantined
2701015-01,initially_quarantined
2701015-16,initially_quarantined
2701010-12,initially_quarantined
2701020-11,initially_quarantined
2703060-02,initially_quarantined
2701023-09,initially_quarantined
2701005-05,initially_quarantined
2701020-10,initially_quarantined
2705099-03,initially_quarantined
2701010-14,initially_quarantined
2701013-29,initially_quarantined
2701015-18,initially_quarantined
2701010-11,initially_quarantined
2701016-02,initially_quarantined
0802012-01,initially_quarantined
2801030-06,initially_quarantined
2801005-01,initially_quarantined
0202022-07,initially_quarantined
0203026-06,initially_quarantined
0202024-01,initially_quarantined
0202022-05,initially_quarantined
0201009-04,initially_quarantined
0203030-02,initially_quarantined
0201003-06,initially_quarantined
2601004-13,initially_quarantined
2601011-02,initially_quarantined
1001025-01,initially_quarantined
1007202-02,initially_quarantined
1008207-01,initially_quarantined
1004084-01,initially_quarantined
0915280-02,initially_quarantined
0901012-10,initially_quarantined
0913252-01,initially_quarantined
0911234-05,initially_quarantined
0908189-04,initially_quarantined
0910206-07,initially_quarantined
0913268-01,initially_quarantined
0901013-12,initially_quarantined
0907178-04,initially_quarantined
0905136-03,initially_quarantined
0910206-11,initially_quarantined
0911231-01,initially_quarantined
0903073-04,initially_quarantined
0905158-03,initially_quarantined
0911232-02,initially_quarantined
0905121-01,initially_quarantined
0903073-01,initially_quarantined
0101264-02,initially_quarantined
0101371-02,initially_quarantined
0101101-08,initially_quarantined
0101372-19,initially_quarantined
0101042-06,initially_quarantined
0101327-01,initially_quarantined
0101261-09,initially_quarantined
0101279-01,initially_quarantined
0101111-03,initially_quarantined
0101160-03,initially_quarantined
0101099-06,initially_quarantined
0101302-03,initially_quarantined
0101087-04,initially_quarantined
0101353-04,initially_quarantined
0104418-01,initially_quarantined
0101375-16,initially_quarantined
0101323-02,initially_quarantined
0101175-09,initially_quarantined
0101225-09,initially_quarantined
0101348-07,initially_quarantined
0101236-02,initially_quarantined
0104417-04,initially_quarantined
0101253-19,initially_quarantined
0101349-09,initially_quarantined
0101057-01,initially_quarantined
0101070-11,initially_quarantined
0101312-01,initially_quarantined
0101254-06,initially_quarantined
0101173-01,initially_quarantined
0114528-03,initially_quarantined
0101252-14,initially_quarantined
0101081-01,initially_quarantined
0101371-03,initially_quarantined
0101237-04,initially_quarantined
0101204-04,initially_quarantined
0101024-03,initially_quarantined
0101057-08,initially_quarantined
0101190-01,initially_quarantined
0101003-06,initially_quarantined
0104426-15,initially_quarantined
0104558-15,initially_quarantined
0101295-16,initially_quarantined
0101351-22,initially_quarantined
0101360-05,initially_quarantined
0101202-04,initially_quarantined
0101255-13,initially_quarantined
0101099-03,initially_quarantined
0104426-04,initially_quarantined
0101029-08,initially_quarantined
0101004-04,initially_quarantined
0104419-01,initially_quarantined
0111496-02,initially_quarantined
0101019-06,initially_quarantined
0614306-01,initially_quarantined
0609224-02,initially_quarantined
0608204-01,initially_quarantined
0622448-01,initially_quarantined
0616370-02,initially_quarantined
0609223-04,initially_quarantined
0606158-04,initially_quarantined
0608204-04,initially_quarantined
0622448-02,initially_quarantined
0606154-01,initially_quarantined
0602057-05,initially_quarantined
0608207-01,initially_quarantined
0605132-05,initially_quarantined
0618393-05,initially_quarantined
0601032-08,initially_quarantined
0603087-09,initially_quarantined
0601039-12,initially_quarantined
0615332-04,initially_quarantined
0612280-01,initially_quarantined
0601016-03,initially_quarantined
0623353-03,initially_quarantined
0622451-05,initially_quarantined
0603089-04,initially_quarantined
0608207-03,initially_quarantined
0602050-02,initially_quarantined
0612277-04,initially_quarantined
0601020-01,initially_quarantined
0607182-06,initially_quarantined
0603098-10,initially_quarantined
0616370-03,initially_quarantined
0611258-03,initially_quarantined
0623355-06,initially_quarantined
0601013-12,initially_quarantined
0608199-08,initially_quarantined
0608204-05,initially_quarantined
0612285-05,initially_quarantined
0608204-06,initially_quarantined
2001005-01,initially_quarantined
2001006-05,initially_quarantined
1506046-06,initially_quarantined
1507062-01,initially_quarantined
1505038-07,initially_quarantined
1501007-01,initially_quarantined
2107121-03,initially_quarantined
2110206-02,initially_quarantined
2101017-04,initially_quarantined
2101016-11,initially_quarantined
2110212-04,initially_quarantined
2107127-04,initially_quarantined
2101039-04,initially_quarantined
2101042-02,initially_quarantined
1901019-07,initially_quarantined
1905120-04,initially_quarantined
1901022-10,initially_quarantined
1608077-02,initially_quarantined
1601003-02,initially_quarantined
1602012-09,initially_quarantined
1602012-07,initially_quarantined
1603032-05,initially_quarantined
1606051-07,initially_quarantined
1608076-05,initially_quarantined
0701021-05,initially_quarantined
0701124-09,initially_quarantined
0702037-01,initially_quarantined
1306098-06,initially_quarantined
1301022-02,initially_quarantined
1307119-07,initially_quarantined
1303066-01,initially_quarantined
1302032-05,initially_quarantined
1307119-01,initially_quarantined
1307114-07,initially_quarantined
1301199-08,initially_quarantined
1311178-06,initially_quarantined
1310156-03,initially_quarantined
1305076-04,initially_quarantined
1301005-07,initially_quarantined
1310159-05,initially_quarantined
1301002-06,initially_quarantined
1302030-06,initially_quarantined
1311177-04,initially_quarantined
1305079-03,initially_quarantined
1301199-02,initially_quarantined
1311172-01,initially_quarantined
1302023-02,initially_quarantined
1307121-03,initially_quarantined
1409154-05,initially_quarantined
1409153-03,initially_quarantined
1401001-03,initially_quarantined
1403076-02,initially_quarantined
1401048-01,initially_quarantined
1401012-02,initially_quarantined
1402064-02,initially_quarantined
1402065-03,initially_quarantined
1406127-02,initially_quarantined
1401003-06,initially_quarantined
1401022-01,initially_quarantined
1408139-03,initially_quarantined
1211151-07,initially_quarantined
1217214-03,initially_quarantined
1209113-01,initially_quarantined
1205050-01,initially_quarantined
1212158-02,initially_quarantined
1212159-01,initially_quarantined
1209104-06,initially_quarantined
1204042-03,initially_quarantined
1210117-05,initially_quarantined
1204043-01,initially_quarantined
1208085-08,initially_quarantined
1209110-09,initially_quarantined
1203034-03,initially_quarantined
1810153-05,initially_quarantined
1810147-02,initially_quarantined
1807081-01,initially_quarantined
1813189-01,initially_quarantined
1801002-01,initially_quarantined
1807085-04,initially_quarantined
1702036-03,initially_quarantined
1707101-05,initially_quarantined
1722274-03,initially_quarantined
1715211-03,initially_quarantined
1713171-05,initially_quarantined
1707106-02,initially_quarantined
1708119-01,initially_quarantined
1704078-01,initially_quarantined
1705084-04,initially_quarantined
1702032-01,initially_quarantined
1710139-06,initially_quarantined
1702055-03,initially_quarantined
2201035-04,initially_quarantined
0501002-16,initially_quarantined
0505062-03,initially_quarantined
2402029-02,initially_quarantined
2407176-03,initially_quarantined
2409253-03,initially_quarantined
2407188-02,initially_quarantined
2404103-01,initially_quarantined
2402058-01,initially_quarantined
0409136-01,initially_quarantined
0406101-01,initially_quarantined
0107462-08,initially_quarantined
0505062-04,initially_quarantined
3406062-02,initially_quarantined
3301007-04,initially_quarantined
0101353-08,initially_quarantined
3201032-01,initially_quarantined
3015229-02,out_of_time
3001013-12,out_of_time
3001019-11,out_of_time
3001006-16,out_of_time
3001024-07,out_of_time
3002037-10,out_of_time
3001011-10,out_of_time
3001017-22,out_of_time
3001006-06,out_of_time
3001017-26,out_of_time
3002041-05,out_of_time
3004092-09,out_of_time
3015236-02,out_of_time
3001009-22,out_of_time
3002039-06,out_of_time
3001012-16,out_of_time
3001013-09,out_of_time
3001006-13,out_of_time
3014217-17,out_of_time
3001013-04,out_of_time
3001016-04,out_of_time
3002041-04,out_of_time
3001019-05,out_of_time
3004077-01,out_of_time
3001016-06,out_of_time
3001023-08,out_of_time
3001008-09,out_of_time
3001013-08,out_of_time
3001012-15,out_of_time
3002037-05,out_of_time
3001010-10,out_of_time
3001014-09,out_of_time
3001017-16,out_of_time
3001002-06,out_of_time
3001008-05,out_of_time
3015227-02,out_of_time
3001023-12,out_of_time
3001008-03,out_of_time
3001015-21,out_of_time
3001027-02,out_of_time
3001018-08,out_of_time
3001015-25,out_of_time
3001010-08,out_of_time
3001016-05,out_of_time
3001017-15,out_of_time
3001016-14,out_of_time
3001016-11,out_of_time
3001019-09,out_of_time
3001017-23,out_of_time
3001025-03,out_of_time
3014217-15,out_of_time
3001006-03,out_of_time