"province_code","2012_AGCHO_district_code","province_name_eng","district_name_eng","AGI","AGR","AGT","AGV","BRS","BSD","NFS","NHS","SNW","URB","WAT","fao_total","calculated_total","difference","check","pct_urban","pct_irrigated"
"01","0101","KABUL","Kabul",4340,1,209,225,2553,0,0,9416,0,17727,516,34987,34987,0,"OK",0.506673907451339,0.124046074256152
"01","0102","KABUL","Dehsabz",13881,1600,28,1919,3708,0,43,23561,0,1156,257,46153,46153,0,"OK",0.0250471258639742,0.300760513942756
"01","0103","KABUL","Shakardara",8396,368,986,1475,670,0,1,18198,0,1396,268,31757,31758,1,"ERROR",0.0439574280496253,0.264374330877259
"01","0104","KABUL","Paghman",8081,0,1419,31,457,0,100,24587,0,908,537,36121,36120,-1,"ERROR",0.0251384274640089,0.223726467331119
"01","0105","KABUL","Chahar Asyab",3755,0,209,0,5666,0,0,15260,0,571,276,25736,25737,1,"ERROR",0.0221859579593581,0.145898900415744
"01","0106","KABUL","Musayi",1836,0,9,0,1513,0,0,6917,0,290,479,11043,11044,1,"ERROR",0.0262586019558131,0.166244114451286
"01","0107","KABUL","Bagrami",6276,162,44,2,6648,0,2,12158,0,2330,325,27947,27947,0,"OK",0.0833720971839553,0.224567932157298
"01","0108","KABUL","Qarabagh",4929,1796,119,3247,55,0,0,9469,0,633,614,20862,20862,0,"OK",0.0303422490652862,0.236266896750072
"01","0109","KABUL","Kalakan",2654,262,3,1607,106,0,0,2452,0,254,152,7491,7490,-1,"ERROR",0.0339118825100133,0.3543391188251
"01","0110","KABUL","Mir Bacha Kot",2472,0,5,1240,2,0,0,2369,0,333,156,6576,6577,1,"ERROR",0.0506309867720845,0.375855253154934
"01","0111","KABUL","Guldara",1187,0,249,176,1,0,0,5687,0,71,200,7572,7571,-1,"ERROR",0.0093778893144895,0.156782459384493
"01","0112","KABUL","Khake Jabbar",2479,148,21,0,4083,0,0,51437,0,101,201,58470,58470,0,"OK",0.0017273815631948,0.0423978108431674
"01","0113","KABUL","Surobi",3585,2,166,31,22504,0,9098,92242,0,314,2968,130908,130910,2,"ERROR",0.00239859445420518,0.0273852264914827
"01","0114","KABUL","Estalef",1163,0,199,369,8,0,0,8985,0,169,50,10942,10943,1,"ERROR",0.0154436626153706,0.106277985927077
"01","0115","KABUL","Farza",1715,0,334,277,26,0,0,6171,0,99,340,8962,8962,0,"OK",0.0110466413746931,0.19136353492524
"02","0201","KAPISA","Mahmud-e-Ragqi",4565,1216,85,645,138,0,405,10413,0,483,487,18438,18437,-1,"ERROR",0.0261973206053045,0.247599934913489
"02","0202","KAPISA","Nejrab",5725,0,1533,9,81,0,6208,43078,107,458,932,58132,58131,-1,"ERROR",0.0078787566014691,0.0984844575183637
"02","0203","KAPISA","Kohband",1082,107,336,10,0,0,1027,12224,22,57,142,15008,15007,-1,"ERROR",0.00379822749383621,0.0720996868128207
"02","0204","KAPISA","Hisa-e-Duwum-e-",4039,0,51,35,0,0,0,586,0,514,77,5301,5302,1,"ERROR",0.0969445492267069,0.761788004526594
"02","0205","KAPISA","Tagab",3285,0,1607,226,6634,0,3024,36345,0,554,549,52224,52224,0,"OK",0.0106081495098039,0.0629021139705882
"02","0206","KAPISA","Alasay",1475,0,430,1,95,0,4100,23778,0,125,249,30252,30253,1,"ERROR",0.00413182163752355,0.0487554953227779
"02","0207","KAPISA","Hisa-e-Awale",2424,0,166,4,0,0,379,5217,0,545,64,8798,8799,1,"ERROR",0.06193885668826,0.275485850664848
"03","0301","PARWAN","Charikar",8068,0,318,2426,23,0,102,13818,0,1511,470,26736,26736,0,"OK",0.0565155595451825,0.301765409934171
"03","0302","PARWAN","Jabalussaraj",2367,0,229,5,24,0,11,8419,0,435,156,11646,11646,0,"OK",0.0373518804739825,0.203245749613601
"03","0303","PARWAN","Shinwari",2284,0,795,0,9022,0,31,54509,4496,321,670,72127,72128,1,"ERROR",0.004450421472937,0.0316659272404614
"03","0304","PARWAN","Bagram",10124,2659,54,3738,3628,0,207,12518,0,2146,954,36029,36028,-1,"ERROR",0.0595647829465971,0.281003663817031
"03","0305","PARWAN","Saydkhel",3531,0,50,51,0,0,1,37,0,370,549,4588,4589,1,"ERROR",0.0806275877097407,0.769448681629985
"03","0306","PARWAN","Salang",1118,5,570,0,1179,0,133,43683,4926,102,291,52004,52007,3,"ERROR",0.00196127444382487,0.0214971061587863
"03","0307","PARWAN","Ghorband",2962,1,3110,0,21528,0,0,59214,1678,520,449,89463,89462,-1,"ERROR",0.00581252375310188,0.0331090295320918
"03","0308","PARWAN","Koh-e-Safi",1658,806,142,153,11715,0,506,42495,0,105,396,57976,57976,0,"OK",0.00181109424589485,0.0285980405685111
"03","0309","PARWAN","Shekhali",2452,4657,680,0,6976,0,0,75901,879,207,268,92020,92020,0,"OK",0.00224951097587481,0.0266463812214736
"03","0310","PARWAN","Surkh-e-Parsa",3662,37,1174,0,9051,0,0,101331,257,357,514,116382,116383,1,"ERROR",0.00306745830576631,0.0314650765146112
"04","0401","WARDAK","Maydanshahr",2764,1,891,18,1550,0,74,18827,0,390,119,24636,24634,-2,"ERROR",0.0158317772184785,0.112202646748397
"04","0402","WARDAK","Jalrez",1879,12,1895,4,5210,0,279,99450,33,262,223,109245,109247,2,"ERROR",0.00239823519181305,0.0171995569672394
"04","0403","WARDAK","Nerkh",5806,0,2379,12,8398,0,0,38826,0,535,236,56192,56192,0,"OK",0.00952092824601367,0.103324316628702
"04","0404","WARDAK","Hesa-e-Awal-e-",11536,3963,149,0,913,0,0,136611,3257,126,783,157339,157338,-1,"ERROR",0.00080082370438165,0.0733198591567199
"04","0405","WARDAK","Daymirdad",2418,858,669,7,9503,0,80,81700,0,255,147,95636,95637,1,"ERROR",0.00266633206813263,0.0252831017284106
"04","0406","WARDAK","Chak",5272,84,1491,3,17965,0,150,84725,0,898,466,111054,111054,0,"OK",0.00808615628433015,0.0474724008140184
"04","0407","WARDAK","Saydabad",11355,835,665,9,18599,0,285,75612,0,1335,791,109484,109486,2,"ERROR",0.0121933397877354,0.103711890104671
"04","0408","WARDAK","Markaz-e-Behsud",20068,17135,142,0,4881,0,0,285615,5218,418,1012,334490,334489,-1,"ERROR",0.00124966740311341,0.0599959938891862
"04","0409","WARDAK","Jaghatu",6012,1515,446,18,3769,0,62,46819,0,686,581,59909,59908,-1,"ERROR",0.0114508913667624,0.100353875943113
"05","0501","LOGAR","Pul-e-Alam",15958,1875,184,438,24457,0,224,65307,0,2477,1202,112122,112122,0,"OK",0.0220920069210324,0.142327107971674
"05","0502","LOGAR","Khoshi",1030,248,83,0,9811,0,301,31917,0,92,149,43631,43631,0,"OK",0.00210859251449657,0.0236070683688203
"05","0503","LOGAR","Mohammad Agha",10492,50,313,16,37336,0,25,54743,0,1169,884,105028,105028,0,"OK",0.0111303652359371,0.0998971702784019
"05","0504","LOGAR","Baraki Barak",9630,288,76,8,4603,0,66,11484,0,929,211,27294,27295,1,"ERROR",0.0340355376442572,0.352811870305917
"05","0505","LOGAR","Charkh",3378,1904,190,591,1535,0,312,19813,0,718,184,28626,28625,-1,"ERROR",0.0250829694323144,0.118008733624454
"05","0506","LOGAR","Kharwar",4281,7769,7,0,3404,0,135,30421,0,317,390,46725,46724,-1,"ERROR",0.0067845218731273,0.091623148703022
"05","0507","LOGAR","Azra",1771,19,6,0,1724,0,15584,56467,0,15,489,76075,76075,0,"OK",0.000197173841603681,0.0232796582320079
"06","0601","NANGARHAR","Jalalabad",696,0,85,0,25,0,4,53,0,1402,97,2361,2362,1,"ERROR",0.593564775613887,0.294665537679932
"06","0602","NANGARHAR","Behsud",7242,0,328,0,16874,0,151,1885,0,1570,3053,31103,31103,0,"OK",0.0504774459055397,0.232839275954088
"06","0603","NANGARHAR","Surkhrod",9090,0,264,1,18989,0,90,7075,0,1670,1279,38459,38458,-1,"ERROR",0.0434239950075407,0.236361745280566
"06","0604","NANGARHAR","Khogyani",12147,6,497,3,15842,0,6086,31360,0,685,1102,67728,67728,0,"OK",0.0101139853531774,0.179349751948972
"06","0605","NANGARHAR","Chaparhar",5377,0,42,1,14177,0,0,1798,0,930,793,23118,23118,0,"OK",0.0402283934596418,0.232589324336015
"06","0606","NANGARHAR","Rodat",7619,1,549,14,20804,0,10,3981,0,1480,1178,35636,35636,0,"OK",0.0415310360309799,0.213800651027051
"06","0607","NANGARHAR","Kama",6384,0,168,0,11602,0,2,1969,0,544,2283,22953,22952,-1,"ERROR",0.0237016382014639,0.278145695364238
"06","0608","NANGARHAR","Kuz Kunar",3993,0,222,2,11688,0,851,9281,0,552,2429,29018,29018,0,"OK",0.0190226755806741,0.137604245640637
"06","0609","NANGARHAR","Dara-e-Nur",2139,0,151,0,509,0,12990,9741,0,149,172,25851,25851,0,"OK",0.00576380023983598,0.0827434141812696
"06","0610","NANGARHAR","Hesarak",4501,0,180,1,6117,0,8736,46731,0,127,532,66923,66925,2,"ERROR",0.00189764661935002,0.0672543892416885
"06","0611","NANGARHAR","Sherzad",7107,0,360,4,7164,0,4637,26715,0,263,352,46601,46602,1,"ERROR",0.0056435346122484,0.15250418436977
"06","0612","NANGARHAR","Pachier Agam",2584,4,90,1,6112,0,10649,26494,0,170,829,46933,46933,0,"OK",0.00362218481665353,0.0550572092131336
"06","0613","NANGARHAR","Deh Bala",2808,1,95,0,6986,0,5470,22500,0,142,538,38539,38540,1,"ERROR",0.00368448365334717,0.0728593668915413
"06","0614","NANGARHAR","Kot",2848,0,78,2,6498,0,42,7052,0,278,512,17310,17310,0,"OK",0.0160600808781051,0.164529173887926
"06","0615","NANGARHAR","Bati Kot",8656,0,896,233,1138,0,598,1197,0,772,1771,15260,15261,1,"ERROR",0.0505864622239696,0.567197431360986
"06","0616","NANGARHAR","Goshta",3431,0,15,18,31260,0,1595,13457,0,263,2093,52132,52132,0,"OK",0.00504488605846697,0.0658137036752858
"06","0617","NANGARHAR","Achin",6238,0,12,0,7355,0,10174,21650,0,442,853,46725,46724,-1,"ERROR",0.00945980652341409,0.133507405187912
"06","0618","NANGARHAR","Shinwar",4807,0,183,0,1488,0,132,1095,0,594,458,8759,8757,-2,"ERROR",0.0678314491264132,0.548932282745232
"06","0619","NANGARHAR","Muhmand Dara",4269,0,40,0,13853,0,105,5300,0,1010,3801,28377,28378,1,"ERROR",0.035590950736486,0.150433434350553
"06","0620","NANGARHAR","Lalpur",2437,0,28,0,33055,0,0,7505,0,354,2973,46353,46352,-1,"ERROR",0.00763721090783569,0.0525759406282361
"06","0621","NANGARHAR","Nazyan",983,0,3,0,3614,0,3753,12720,0,61,496,21630,21630,0,"OK",0.00282015718908923,0.0454461396208969
"06","0622","NANGARHAR","Dur Baba",722,1,0,0,9731,0,4522,11490,0,119,1367,27951,27952,1,"ERROR",0.00425729822552948,0.0258299942759015
"07","0701","LAGHMAN","Mehtarlam",6630,0,150,0,24535,0,2722,35091,0,988,1773,71889,71889,0,"OK",0.0137434099792736,0.0922255143345992
"07","0702","LAGHMAN","Alishang",2958,12,254,3,2727,0,31813,28245,0,272,726,67009,67010,1,"ERROR",0.00405909565736457,0.0441426652738397
"07","0703","LAGHMAN","Qarghayi",6011,0,24,1,30318,0,6434,41120,0,736,4019,88662,88663,1,"ERROR",0.00830109515807045,0.0677960366782085
"07","0704","LAGHMAN","Alingar",4017,9,240,0,11109,0,33623,31676,0,365,765,81804,81804,0,"OK",0.00446188450442521,0.0491051782308934
"07","0705","LAGHMAN","Dawlat Shah",2260,11,33,0,114,0,23027,47783,2,83,872,74185,74185,0,"OK",0.00111882456022107,0.0304643795915616
"08","0801","PANJSHER","Bazarak",703,0,235,0,78,0,66,25750,7176,79,371,43458,34458,-9000,"ERROR",0.0022926461199141,0.0204016483835394
"08","0802","PANJSHER","Shutul",141,0,39,0,1634,0,1747,15675,3255,16,103,22609,22610,1,"ERROR",0.00070765148164529,0.00623617868199912
"08","0803","PANJSHER","Rukha",660,0,259,0,0,0,0,14721,467,64,180,16351,16351,0,"OK",0.00391413369212892,0.0403645037000795
"08","0804","PANJSHER","Dara",1613,0,226,0,11,0,0,65511,3218,88,548,71216,71215,-1,"ERROR",0.00123569472723443,0.0226497226707856
"08","0805","PANJSHER","Khenj (Hes-e-Awal)",2807,669,381,0,180,0,0,59760,3997,83,554,68431,68431,0,"OK",0.00121290058599173,0.0410194210226359
"08","0806","PANJSHER","Onaba (Anawa)",1120,0,283,0,0,0,1298,14908,3,117,111,17840,17840,0,"OK",0.00655829596412556,0.062780269058296
"08","0807","PANJSHER","Paryan",2257,126,27,0,6731,0,0,123472,7358,18,2093,142082,142082,0,"OK",0.000126687405864219,0.0158851930575302
"09","0901","BAGHLAN","Pul-e-Khumri",12699,2548,144,0,7615,0,713,26379,0,2185,982,53263,53265,2,"ERROR",0.0410213085515817,0.238411715009856
"09","0902","BAGHLAN","Baghlan-e-Jadid",27589,26804,220,0,36958,1328,1252,159156,0,2573,3765,259644,259645,1,"ERROR",0.00990968437674517,0.106256619615244
"09","0903","BAGHLAN","Dahana-e-Ghori",13449,49843,228,0,660,0,2451,76878,0,858,976,145344,145343,-1,"ERROR",0.00590327707560736,0.0925328361186985
"09","0904","BAGHLAN","Doshi",6461,13812,183,0,29122,0,10024,129561,152,1391,3543,194249,194249,0,"OK",0.00716091202528713,0.033261432491287
"09","0905","BAGHLAN","Nahrin",6308,24997,154,0,636,0,3453,60292,1,763,1780,98383,98384,1,"ERROR",0.00775532606927956,0.0641161164416978
"09","0906","BAGHLAN","Tala Wa Barfak",3147,2758,126,0,37768,0,4693,217922,18839,412,2288,287954,287953,-1,"ERROR",0.00143078905238008,0.0109288668636896
"09","0907","BAGHLAN","Khenjan",2061,258,618,0,9394,0,15942,61520,10808,273,784,101658,101658,0,"OK",0.00268547482736233,0.0202738594109662
"09","0908","BAGHLAN","Andarab",2560,6194,312,0,2121,0,9539,75037,5280,172,772,101988,101987,-1,"ERROR",0.00168648945453832,0.0251012383931285
"09","0909","BAGHLAN","Khwaja Hejran",2060,5147,238,0,189,0,5225,51457,0,131,875,65322,65322,0,"OK",0.00200544992498699,0.0315360827898717
"09","0910","BAGHLAN","Burka",1583,35857,100,0,875,0,2887,40415,0,874,981,83572,83572,0,"OK",0.0104580481500981,0.0189417508256354
"09","0911","BAGHLAN","Pul-e-Hesar",3749,1013,220,0,653,0,1502,66580,14600,86,460,88864,88863,-1,"ERROR",0.000967781866468609,0.0421885374115211
"09","0912","BAGHLAN","Deh Salah",3631,4094,467,0,88,0,0,36096,0,232,709,45316,45317,1,"ERROR",0.0051194915815257,0.0801244566056888
"09","0913","BAGHLAN","Khost Wa Fereng",8967,1161,623,0,5657,0,2133,151464,16103,475,2427,189010,189010,0,"OK",0.00251309454526216,0.0474419342891911
"09","0914","BAGHLAN","Guzargah-e-Nur",631,1457,190,0,2807,0,4562,31579,38,29,423,41715,41716,1,"ERROR",0.000695176910537923,0.015126090708601
"09","0915","BAGHLAN","Fereng Wa Gharu",2268,1923,123,0,877,0,0,18425,212,97,124,24049,24049,0,"OK",0.00403343174352364,0.0943074556114599
"10","1001","BAMYAN","Bamyan",10849,119,469,0,31768,0,0,123509,10185,648,2186,179731,179733,2,"ERROR",0.00360534793276694,0.0603617588311551
"10","1002","BAMYAN","Sayghan",3072,4198,219,0,26688,0,9,138270,0,201,556,173213,173213,0,"OK",0.00116042098456813,0.0177353893760861
"10","1003","BAMYAN","Yakawlang",13594,925,30,0,29341,0,0,623509,4941,527,4991,677858,677858,0,"OK",0.000777448964237348,0.0200543476657353
"10","1004","BAMYAN","Panjab",8345,3733,16,0,544,0,0,173892,267,159,1211,188167,188167,0,"OK",0.000844994074412623,0.0443489028363103
"10","1005","BAMYAN","Shibar",3536,5235,176,0,17913,0,4,100692,1509,161,613,129839,129839,0,"OK",0.00123999722733539,0.0272337279245835
"10","1006","BAMYAN","Kahmard",2989,1104,936,0,25543,0,252,109436,0,274,200,140733,140734,1,"ERROR",0.00194693535321955,0.0212386487984425
"10","1007","BAMYAN","Waras",16958,670,100,0,5558,0,59,274844,362,238,878,299669,299667,-2,"ERROR",0.000794214911885526,0.0565894809905662
"11","1101","GHAZNI","Ghazni",10539,1882,634,1522,3987,0,27,13534,0,3066,770,35963,35961,-2,"ERROR",0.0852590306165012,0.293067489780596
"11","1102","GHAZNI","Khwaja Umari",1904,741,499,0,2524,0,28,14832,0,239,141,20906,20908,2,"ERROR",0.0114310311842357,0.091065620814999
"11","1103","GHAZNI","Wali Muhammad-",2207,0,129,83,458,0,0,10926,0,204,70,14078,14077,-1,"ERROR",0.0144917240889394,0.156780564040634
"11","1104","GHAZNI","Waghaz",7129,354,272,249,4758,0,23,25363,0,531,486,39166,39165,-1,"ERROR",0.0135580237456913,0.182024767011362
"11","1105","GHAZNI","Andar",36837,16,402,2029,12855,0,80,15257,0,1864,1533,70874,70873,-1,"ERROR",0.0263005658007986,0.519760698714602
"11","1106","GHAZNI","Deh Yak",20706,782,506,373,8537,0,231,40352,0,822,47,72357,72356,-1,"ERROR",0.0113604953286528,0.286168389629056
"11","1107","GHAZNI","Zana Khan",1589,1368,58,0,846,0,29,25804,0,182,296,30173,30172,-1,"ERROR",0.00603208272570595,0.0526647222590481
"11","1108","GHAZNI","Rashidan",4746,206,52,0,1223,0,9,31794,0,408,355,38794,38793,-1,"ERROR",0.0105173613796303,0.122341659577759
"11","1109","GHAZNI","Jaghatu",9681,1746,133,8,57,0,281,52776,0,294,399,65375,65375,0,"OK",0.00449713193116635,0.14808413001912
"11","1110","GHAZNI","Qarabagh",26853,7384,807,1276,25406,0,476,97576,0,2211,2654,164643,164643,0,"OK",0.0134290555930103,0.163098340044824
"11","1111","GHAZNI","Giro",19488,1037,45,478,19021,0,58,45577,0,861,1942,88508,88507,-1,"ERROR",0.00972804410950546,0.220185973990758
"11","1112","GHAZNI","Nawur",19121,16929,103,1,5192,0,5017,439074,0,550,35572,521559,521559,0,"OK",0.00105453074340583,0.0366612406266597
"11","1113","GHAZNI","Jaghuri",15831,341,2585,1,2173,0,36,185542,0,1045,1721,209274,209275,1,"ERROR",0.0049934296977661,0.0756468761199379
"11","1114","GHAZNI","Muqur",12264,9058,150,675,8640,0,119,52348,0,740,2647,86641,86641,0,"OK",0.00854099098579195,0.141549612769936
"11","1115","GHAZNI","Ab Band",13996,3802,79,406,15746,0,180,63460,0,739,2132,100539,100540,1,"ERROR",0.00735030833499105,0.139208275313308
"11","1116","GHAZNI","Ajrestan",7202,1001,80,0,8147,0,776,132662,0,170,2245,152283,152283,0,"OK",0.0011163425989769,0.047293525869598
"11","1117","GHAZNI","Malestan",7665,296,334,0,273,0,35,166967,0,650,1796,178016,178016,0,"OK",0.00365135718137695,0.0430579273773144
"11","1118","GHAZNI","Gelan",29662,3728,608,2673,14680,0,242,55877,0,1056,2550,111075,111076,1,"ERROR",0.00950700421333141,0.267042385393784
"11","1119","GHAZNI","Nawa",19935,42,668,399,37049,0,2732,78498,0,875,26364,166562,166562,0,"OK",0.0052532990718171,0.119685162281913
"12","1201","PAKTYA","Gardez",15808,457,304,25,2733,0,2133,46893,0,1824,610,70788,70787,-1,"ERROR",0.0257674431745942,0.223317840846483
"12","1202","PAKTYA","Sayedkaram",9086,1947,23,0,148,0,5889,27638,0,288,122,45140,45141,1,"ERROR",0.00638000930418024,0.201280432422853
"12","1203","PAKTYA","Ahmadaba",5426,1221,42,0,195,0,2232,31987,0,373,152,41627,41628,1,"ERROR",0.00896031517248006,0.130344960122994
"12","1204","PAKTYA","Zurmat",26868,594,268,259,14547,0,2794,93964,0,1206,881,141381,141381,0,"OK",0.00853014195684003,0.19003968001358
"12","1205","PAKTYA","Shawak",182,0,0,0,0,0,4024,6417,0,0,77,10699,10700,1,"ERROR",0,0.0170093457943925
"12","1206","PAKTYA","Zadran",718,0,5,0,0,0,20949,28282,0,26,332,50312,50312,0,"OK",0.000516775321990778,0.0142709492765145
"12","1207","PAKTYA","Lija Ahmad Khel",1533,127,31,0,4,0,16786,23365,0,92,335,42273,42273,0,"OK",0.0021763300451825,0.0362642821659215
"12","1208","PAKTYA","Alikhel (Jaji)",5356,292,35,0,1300,0,21887,30326,0,168,843,60208,60207,-1,"ERROR",0.00279037321241716,0.0889597555101566
"12","1209","PAKTYA","Janikhel",707,6,0,0,0,0,7796,5912,0,44,34,14498,14499,1,"ERROR",0.00303469204772743,0.0487619835850748
"12","1210","PAKTYA","Chamkani",2290,7,20,0,0,0,14329,12548,0,447,484,30124,30125,1,"ERROR",0.0148381742738589,0.0760165975103734
"12","1211","PAKTYA","Dand Wa Patan",2145,0,3,0,0,0,8401,9284,0,199,403,20436,20435,-1,"ERROR",0.00973819427452899,0.104966968436506
