"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","vr_total_final_19","vr_total_prelim_19","vr_total_final_18","vr_2019_net_change","vr_2019_pct_change","vr_2018_2019_net_change","vr_2018_2019_pct_change"
"01","KABUL","0101-01","KABUL CITY NAHIA 01",21440,20490,20456,950,0.0463640800390434,984,0.0481032459913962
"01","KABUL","0101-02","KABUL CITY NAHIA 02",34181,32569,32461,1612,0.0494949184807639,1720,0.0529866609161763
"01","KABUL","0101-03","KABUL CITY NAHIA 03",41305,40013,39868,1292,0.0322895059105791,1437,0.0360439450185613
"01","KABUL","0101-04","KABUL CITY NAHIA 04",53716,51324,52541,2392,0.0466058763931104,1175,0.0223634875620944
"01","KABUL","0101-05","KABUL CITY NAHIA 05",80208,78096,78401,2112,0.0270436385986478,1807,0.0230481754059259
"01","KABUL","0101-06","KABUL CITY NAHIA 06",75823,72155,72559,3668,0.0508350079689557,3264,0.0449840819195413
"01","KABUL","0101-07","KABUL CITY NAHIA 07",76666,73544,73461,3122,0.0424507777656913,3205,0.0436285920420359
"01","KABUL","0101-08","KABUL CITY NAHIA 08",94772,91619,91427,3153,0.0344142590510702,3345,0.0365865663316088
"01","KABUL","0101-09","KABUL CITY NAHIA 09",56640,54625,54604,2015,0.0368878718535469,2036,0.0372866456669841
"01","KABUL","0101-10","KABUL CITY NAHIA 10",68143,64863,64723,3280,0.050568120500131,3420,0.0528405667228033
"01","KABUL","0101-11","KABUL CITY NAHIA 11",81571,80644,80107,927,0.0114949655275036,1464,0.0182755564432571
"01","KABUL","0101-12","KABUL CITY NAHIA 12",98473,94580,94836,3893,0.0411609219708184,3637,0.038350415454047
"01","KABUL","0101-13","KABUL CITY NAHIA 13",136800,129809,130277,6991,0.0538560500427551,6523,0.050070234960891
"01","KABUL","0101-14","KABUL CITY NAHIA 14",8238,7952,7832,286,0.0359657947686117,406,0.0518386108273749
"01","KABUL","0101-15","KABUL CITY NAHIA 15",74102,71898,72088,2204,0.0306545383738073,2014,0.0279380756852736
"01","KABUL","0101-16","KABUL CITY NAHIA 16",44138,42912,42900,1226,0.0285700969425802,1238,0.0288578088578089
"01","KABUL","0101-17","KABUL CITY NAHIA 17",56287,55158,55145,1129,0.0204684723884115,1142,0.0207090398041527
"01","KABUL","0101-18","KABUL CITY NAHIA 18",14715,12975,13012,1740,0.134104046242775,1703,0.130879188441439
"01","KABUL","0101-19","KABUL CITY NAHIA 19",13603,12412,12357,1191,0.0959555269094425,1246,0.100833535647811
"01","KABUL","0101-21","KABUL CITY NAHIA 21",65103,64503,64535,600,0.00930189293521232,568,0.00880142558301697
"01","KABUL","0101-22","KABUL CITY NAHIA 22",7368,6967,6953,401,0.0575570546863786,415,0.059686466273551
"01","KABUL","0102","PAGHMAN",60545,57867,58124,2678,0.0462785352618937,2421,0.0416523295024431
"01","KABUL","0103","CHAHARASYAB",35880,34958,34963,922,0.026374506550718,917,0.0262277264536796
"01","KABUL","0104","BAGRAMI",87785,83949,84149,3836,0.0456944097011281,3636,0.0432090696264959
"01","KABUL","0105","DEHSABZ",43744,42778,42927,966,0.0225817008742812,817,0.0190323106669462
"01","KABUL","0106","SHAKARDARA",41788,41167,41259,621,0.0150848980979911,529,0.0128214450180567
"01","KABUL","0107","MOSAHI",28636,25074,25076,3562,0.142059503868549,3560,0.141968416015313
"01","KABUL","0108","MIRBACHAKOT",22792,22479,22573,313,0.0139241069442591,219,0.00970185619988482
"01","KABUL","0109","KHAKEJABAR",18417,17257,17269,1160,0.0672190994958567,1148,0.0664775030401297
"01","KABUL","0110","KALAKAN",14327,13935,13962,392,0.0281306063867958,365,0.026142386477582
"01","KABUL","0111","GULDARA",8645,8446,8468,199,0.0235614492067251,177,0.0209022201228153
"01","KABUL","0112","FARZA",10750,10402,10413,348,0.0334551047875409,337,0.0323633919139537
"01","KABUL","0113","ISTALIF",12835,12176,12227,659,0.054122864651774,608,0.0497260161936697
"01","KABUL","0114","QARABAGH",47825,46793,46876,1032,0.0220545808133695,949,0.0202449014421026
"01","KABUL","0115","SUROBI",59080,55808,57021,3272,0.0586295871559633,2059,0.0361095035162484
"02","KAPISA","0201","MAHMODRAQI",30174,29799,29650,375,0.0125843149098963,524,0.017672849915683
"02","KAPISA","0202","HISSA-E-DUWUMI KOHISTAN",23118,22853,22889,265,0.0115958517481293,229,0.0100048058019136
"02","KAPISA","0203","KOHBAND",21529,20698,20779,831,0.0401488066479853,750,0.0360941335001684
"02","KAPISA","0204","HESE  AWAL KOHESTAN",29551,28500,28644,1051,0.0368771929824561,907,0.0316645719871526
"02","KAPISA","0205","NEJRAB",33268,32540,32647,728,0.0223724646588814,621,0.0190216558948755
"02","KAPISA","0206","TAGAB",19665,19026,19034,639,0.0335856196783349,631,0.0331512031102238
"02","KAPISA","0207","ALASAY",3513,3224,3233,289,0.0896401985111663,280,0.0866068666872873
"03","PARWAN","0301","CHARIKAR",54991,53788,53777,1203,0.0223655834015022,1214,0.0225747066589806
"03","PARWAN","0302","BAGRAM",50466,50540,50392,-74,-0.00146418678274634,74,0.00146848706143832
"03","PARWAN","0303","SHINWARI",15039,14784,14749,255,0.0172483766233766,290,0.0196623499898298
"03","PARWAN","0304","SAYDKHEL",18953,18597,18584,356,0.0191428725063182,369,0.0198557899268188
"03","PARWAN","0305","JABALUSARAJ",22785,21618,21616,1167,0.0539827921176797,1169,0.054080310880829
"03","PARWAN","0306","SALANG",13902,13662,13639,240,0.0175669740887132,263,0.0192829386318645
"03","PARWAN","0307","GHORBAND (SIA GERD)",13682,12725,12751,957,0.0752062868369352,931,0.0730138812642146
"03","PARWAN","0308","KOHESAFI",6207,5844,5842,363,0.0621149897330595,365,0.062478603218076
"03","PARWAN","0309","SURKH PARSA",13106,12760,12765,346,0.027115987460815,341,0.0267136701919311
"03","PARWAN","0310","SHIKHALI",9804,9538,9563,266,0.0278884462151394,241,0.0252012966642267
"04","MAYDANWARDAK","0401","MAYDANSHAHR",22629,21776,22202,853,0.0391715650257164,427,0.0192325015764346
"04","MAYDANWARDAK","0402","NIRKH",15770,11882,12061,3888,0.327217640127925,3709,0.307520106127187
"04","MAYDANWARDAK","0403","JALRIZ",15836,15272,15403,564,0.036930330015715,433,0.0281114068687918
"04","MAYDANWARDAK","0404","CHAK",22768,22066,22261,702,0.0318136499592133,507,0.0227752571762275
"04","MAYDANWARDAK","0405","SAYDABAD",26817,19413,20481,7404,0.381393911296554,6336,0.3093598945364
"04","MAYDANWARDAK","0406","DAYMIRDAD",5367,2451,2478,2916,1.18971848225214,2889,1.16585956416465
"04","MAYDANWARDAK","0407","HISE AWAL BEHSOD",14950,13407,14236,1543,0.115089132542702,714,0.0501545377915145
"04","MAYDANWARDAK","0408","JAGHATO",3014,2929,2939,85,0.0290201433936497,75,0.0255188839741409
"04","MAYDANWARDAK","0409","MARKAZ BIHSOD",35093,32899,32974,2194,0.0666889571111584,2119,0.0642627524716443
"05","LOGAR","0501","PULE ALAM",43711,42605,42936,1106,0.0259593944372726,775,0.01805012111049
"05","LOGAR","0502","BARAKIBARAK",3296,2678,2689,618,0.230769230769231,607,0.225734473782075
"05","LOGAR","0503","CHARKH",2382,2183,2193,199,0.0911589555657352,189,0.0861833105335157
"05","LOGAR","0504","KHOSHI",13349,12897,12894,452,0.0350469101341397,455,0.0352877307274701
"05","LOGAR","0505","MUHAMMADAGHA",38464,35216,35462,3248,0.0922308041799182,3002,0.0846539958265185
"05","LOGAR","0506","KHARWAR",171,41,41,130,3.17073170731707,130,3.17073170731707
"05","LOGAR","0507","AZRA",6186,5537,5555,649,0.117211486364457,631,0.113591359135914
"06","NANGARHAR","0601-01","JALALABAD NAHIA 01",24425,22276,22211,2149,0.0964715388759203,2214,0.0996803385709783
"06","NANGARHAR","0601-02","JALALABAD NAHIA 02",29766,28813,28705,953,0.0330753479332246,1061,0.0369622017070197
"06","NANGARHAR","0601-03","JALALABAD NAHIA 03",31838,31046,30903,792,0.0255105327578432,935,0.0302559622043167
"06","NANGARHAR","0601-04","JALALABAD NAHIA 04",41712,40697,40507,1015,0.0249404132982775,1205,0.0297479447996643
"06","NANGARHAR","0601-05","JALALABAD NAHIA 05",20070,19140,19063,930,0.04858934169279,1007,0.0528248439385196
"06","NANGARHAR","0601-06","JALALABAD NAHIA 06",21118,19711,19625,1407,0.0713814621277459,1493,0.0760764331210191
"06","NANGARHAR","0602","BIHSOD",77575,73201,73478,4374,0.0597532820589883,4097,0.0557581861237377
"06","NANGARHAR","0603","SURKHROD",76839,74701,74887,2138,0.0286207681289407,1952,0.0260659393486186
"06","NANGARHAR","0604","CHAPARHAR",33774,32204,32266,1570,0.0487517078623773,1508,0.0467365028203062
"06","NANGARHAR","0605","KAMA",49640,48751,48832,889,0.0182355233738795,808,0.0165465268676278
"06","NANGARHAR","0606","KOZ KUNAR",37794,34150,34163,3644,0.106705710102489,3631,0.106284576881421
"06","NANGARHAR","0607","RODAT",45306,39827,39284,5479,0.137569990207648,6022,0.153293961918338
"06","NANGARHAR","0608","KHOGYANI",54455,52428,52504,2027,0.0386625467307546,1951,0.0371590735943928
"06","NANGARHAR","0609","BATIKOT",35914,33033,33022,2881,0.0872158144885418,2892,0.0875779783174853
"06","NANGARHAR","0610","DEHBALA",10564,9054,9049,1510,0.166777115087254,1515,0.167421814565145
"06","NANGARHAR","0611","PACHERAGAM",19147,17804,17826,1343,0.0754324870815547,1321,0.0741052395377538
"06","NANGARHAR","0612","DARA NOOR",36675,34327,34342,2348,0.068400967168701,2333,0.0679343078446217
"06","NANGARHAR","0613","KOT",28016,26695,26692,1321,0.049484922270088,1324,0.0496028772665967
"06","NANGARHAR","0614","GOSHTA",22191,20582,20582,1609,0.078175104460208,1609,0.078175104460208
"06","NANGARHAR","0615","ACHEEN",23161,21863,22056,1298,0.0593697113845309,1105,0.0500997461008342
"06","NANGARHAR","0616","SHINWAR",27714,25153,25209,2561,0.101816880690176,2505,0.0993692728787338
"06","NANGARHAR","0617","MUHMAND DARA",31169,29081,29685,2088,0.071799456689935,1484,0.0499915782381674
"06","NANGARHAR","0618","LAL POOR",13963,13074,13076,889,0.0679975523940646,887,0.0678342000611808
"06","NANGARHAR","0619","SHIRZAD",1774,1717,1738,57,0.0331974373907979,36,0.0207134637514384
"06","NANGARHAR","0620","NAZYAN",16834,15868,15840,966,0.0608772372069574,994,0.0627525252525253
"06","NANGARHAR","0621","HISARAK",5760,5629,5576,131,0.0232723396695683,184,0.0329985652797704
"06","NANGARHAR","0622","DURBABA",21407,20343,20342,1064,0.052303003490144,1065,0.0523547340477829
"06","NANGARHAR","0623","SPIN GHAR",17642,16194,16017,1448,0.089415833024577,1625,0.1014547043766
"07","LAGHMAN","0701","MEHTARLAM",70479,66274,66343,4205,0.0634487129190935,4136,0.0623426736807199
"07","LAGHMAN","0702","QARGHAYE",64038,59326,59406,4712,0.0794255469777164,4632,0.077971922028078
"07","LAGHMAN","0703","ALISHENG",12282,11408,11398,874,0.0766129032258065,884,0.0775574662221442
"07","LAGHMAN","0704","ALINGAR",12877,12190,12159,687,0.056357670221493,718,0.0590509087918414
"07","LAGHMAN","0705","DAWLATSHAH",13074,11860,11867,1214,0.102360876897133,1207,0.101710626106008
"07","LAGHMAN","0706","BAD PAKH",536,499,495,37,0.0741482965931864,41,0.0828282828282828
"08","PANJSHIR","0801","BAZARAK",13239,12697,12656,542,0.0426872489564464,583,0.0460651074589128
"08","PANJSHIR","0802","RUKHA",6036,5591,5672,445,0.079592201752817,364,0.0641748942172073
"08","PANJSHIR","0803","DARA",9099,8288,8350,811,0.0978523166023166,749,0.0897005988023952
"08","PANJSHIR","0804","KHENJ (HESAE AWAL)",15624,15017,15072,607,0.0404208563627888,552,0.036624203821656
"08","PANJSHIR","0805","ONABA",12166,11657,11699,509,0.0436647507935146,467,0.0399179417044192
"08","PANJSHIR","0806","SHUTUL",5354,5075,5144,279,0.0549753694581281,210,0.0408242612752722
"08","PANJSHIR","0807","PARYAN",8215,7875,7916,340,0.0431746031746032,299,0.0377716018191006
"08","PANJSHIR","0808","ABSHAR",7572,7238,7257,334,0.0461453440176844,315,0.0434063662670525
"09","BAGHLAN","0901","PULE KHUMRI",57601,55791,56130,1810,0.0324425086483483,1471,0.0262070194192054
"09","BAGHLAN","0902","DAHANAE GHORI",0,0,0,0,NA,0,NA
"09","BAGHLAN","0903","DOSHI",30116,29203,29314,913,0.0312639112419957,802,0.0273589411202838
"09","BAGHLAN","0904","NAHREEN",55616,54049,54055,1567,0.0289922107717072,1561,0.0288779946350939
"09","BAGHLAN","0905","BAGHLAN JADID",87364,80162,80892,7202,0.0898430677877299,6472,0.0800079117836127
"09","BAGHLAN","0906","KHINJAN",12761,12614,12618,147,0.01165371809101,143,0.0113330163258837
"09","BAGHLAN","0907","ANDARAB",11386,11012,10995,374,0.0339629495096259,391,0.0355616189176899
"09","BAGHLAN","0908","DEHSALAH",21104,19496,19653,1608,0.0824784571194091,1451,0.0738309672823488
"09","BAGHLAN","0909","KHWAJAHEJRAN",22861,21033,21417,1828,0.086911044549042,1444,0.0674230751272354
"09","BAGHLAN","0910","BORKA",22059,19995,20016,2064,0.103225806451613,2043,0.102068345323741
"09","BAGHLAN","0911","TALA WA BARFAK",35559,33302,33783,2257,0.0677737072848478,1776,0.0525708196430157
"09","BAGHLAN","0912","PULE HESAR",20593,19433,19432,1160,0.0596922760253178,1161,0.0597468093865788
"09","BAGHLAN","0913","KHOST WA FERENG",41130,38695,38655,2435,0.0629280268768575,2475,0.0640279394644936
"09","BAGHLAN","0914","GUZARGAHE NOOR",7199,7101,7130,98,0.0138008731164625,69,0.00967741935483871
"09","BAGHLAN","0915","FIRING GHARO",11659,10455,10494,1204,0.115160210425634,1165,0.111015818562988
"10","BAMYAN","1001","BAMYAN",44191,43144,43130,1047,0.024267569071018,1061,0.0246000463714352
"10","BAMYAN","1002","SHEBAR",9316,9030,9027,286,0.031672203765227,289,0.032015065913371
"10","BAMYAN","1003","SAYGHAN",11801,11427,11423,374,0.0327295003062921,378,0.0330911319268143
"10","BAMYAN","1004","KAHMARD",20748,20607,20604,141,0.00684233512883971,144,0.0069889341875364
"10","BAMYAN","1005","YAKAWLANG",25318,24650,24650,668,0.0270993914807302,668,0.0270993914807302
"10","BAMYAN","1006","PANJAB",17739,17158,17162,581,0.0338617554493531,577,0.0336207901177019
"10","BAMYAN","1007","WARAS",29509,28738,28713,771,0.0268285893242397,796,0.0277226343468115
"10","BAMYAN","1008","YAKAWLANG NUMBER 2",12853,12566,12594,287,0.0228394079261499,259,0.0205653485786883
"11","GHAZNI","1101","GHAZNI",42561,0,0,42561,Inf,42561,Inf
"11","GHAZNI","1102","WALEMUHAMMAD SHAHEED",871,0,0,871,Inf,871,Inf
"11","GHAZNI","1103","KHWAJAUMARI",2660,0,0,2660,Inf,2660,Inf
"11","GHAZNI","1104","WAGHAZ",2136,0,0,2136,Inf,2136,Inf
"11","GHAZNI","1105","DEHYAK",2835,0,0,2835,Inf,2835,Inf
"11","GHAZNI","1106","JAGHATO",0,0,0,0,NA,0,NA
"11","GHAZNI","1107","ANDAR",7279,0,0,7279,Inf,7279,Inf
"11","GHAZNI","1108","ZANAKHAN",918,0,0,918,Inf,918,Inf
"11","GHAZNI","1109","RASHEEDAN",0,0,0,0,NA,0,NA
"11","GHAZNI","1110","NAWUR",53458,0,0,53458,Inf,53458,Inf
"11","GHAZNI","1111","QARABAGH",1704,0,0,1704,Inf,1704,Inf
"11","GHAZNI","1112","GEERO",0,0,0,0,NA,0,NA
"11","GHAZNI","1113","AB BAND",5701,0,0,5701,Inf,5701,Inf
"11","GHAZNI","1114","JAGHORI",50453,0,0,50453,Inf,50453,Inf
"11","GHAZNI","1115","MUQUR",19481,0,0,19481,Inf,19481,Inf
"11","GHAZNI","1116","MALESTAN",35160,0,0,35160,Inf,35160,Inf
"11","GHAZNI","1117","GELAN",9996,0,0,9996,Inf,9996,Inf
"11","GHAZNI","1118","AJRESTAN",0,0,0,0,NA,0,NA
"11","GHAZNI","1119","NAWA",0,0,0,0,NA,0,NA
"12","PAKTIKA","1201","SHARAN",20642,19287,19249,1355,0.0702545756208845,1393,0.072367395708868
"12","PAKTIKA","1202","MATAKHAN",14559,13867,13889,692,0.0499026465709959,670,0.0482396140830873
"12","PAKTIKA","1203","YOSUFKHEL",10293,9547,9557,746,0.0781397297580392,736,0.077011614523386
"12","PAKTIKA","1204","YAHYAKHEL",15835,14620,14611,1215,0.0831053351573187,1224,0.083772500171104
"12","PAKTIKA","1205","SAR RAWZA",6237,5624,5622,613,0.108997155049787,615,0.109391675560299
"12","PAKTIKA","1206","OMNA",3333,1275,1280,2058,1.61411764705882,2053,1.60390625
"12","PAKTIKA","1207","ZARGHONSHAHR",26977,25014,25033,1963,0.0784760534100904,1944,0.0776574921104143
"12","PAKTIKA","1208","GOMAL",14650,14151,14143,499,0.0352625256165642,507,0.0358481227462349
"12","PAKTIKA","1209","JANIKHEL",19298,14414,14450,4884,0.338837241570695,4848,0.335501730103806
"12","PAKTIKA","1210","SAROBI",16532,15496,15529,1036,0.0668559628291172,1003,0.0645888337948355
"12","PAKTIKA","1211","URGUN",22134,19025,19036,3109,0.163416557161629,3098,0.162744274007144
"12","PAKTIKA","1212","‌‌ZEEROK‌‎‌‎‌‎‌‎",9934,9483,9512,451,0.0475587894126331,422,0.0443650126156434
"12","PAKTIKA","1213","NEEKA‌‎‌‎‌‎‌‎",6963,6650,6641,313,0.0470676691729323,322,0.0484866736937208
"12","PAKTIKA","1214","BARAL",10161,9216,9566,945,0.1025390625,595,0.0621994564081121
"12","PAKTIKA","1215","GYAN",0,0,0,0,NA,0,NA
"12","PAKTIKA","1216","DELA",5754,5459,5459,295,0.0540392013189229,295,0.0540392013189229
"12","PAKTIKA","1217","WAZAKHUA",11322,9842,9845,1480,0.150375939849624,1477,0.150025393600813
"12","PAKTIKA","1218","WORMAMAY",13184,6880,6891,6304,0.916279069767442,6293,0.913220142214483
"12","PAKTIKA","1219","TURWO",7919,7201,7202,718,0.0997083738369671,717,0.0995556789780617
"13","PAKTYA","1301","GARDEZ",52483,50007,49843,2476,0.0495130681704561,2640,0.0529663142266718
"13","PAKTYA","1302","AHMADABA",27756,26329,26948,1427,0.0541987922063124,808,0.0299836722576815
"13","PAKTYA","1303","ZURMAT",34543,33320,33363,1223,0.0367046818727491,1180,0.0353685220154063
"13","PAKTYA","1304","SHUWAK",8757,8569,8562,188,0.0219395495390361,195,0.0227750525578136
"13","PAKTYA","1305","ZADRAN",19233,18933,18949,300,0.015845349389954,284,0.0149875982901472
"13","PAKTYA","1306","SAYEDKARAM",22522,21531,21863,991,0.0460266592355209,659,0.0301422494625623
"13","PAKTYA","1307","JAJEE",60136,57027,57540,3109,0.0545180353166044,2596,0.0451164407368787
"13","PAKTYA","1308","LEJA AHMADKHEL",25700,25130,25124,570,0.0226820533227218,576,0.0229262856233084
"13","PAKTYA","1309","JANIKHEL",22532,21317,21326,1215,0.0569967631467843,1206,0.0565506892994467
"13","PAKTYA","1310","CHAMKANI",35231,35260,35257,-29,-0.000822461712989223,-26,-0.000737442210057577
"13","PAKTYA","1311","DAND WA PATAN",28685,27374,27375,1311,0.0478921604442171,1310,0.0478538812785388
"13","PAKTYA","1312","LEJAMANGAL",19631,19253,19252,378,0.0196333039006908,379,0.0196862663619364
"13","PAKTYA","1313","MEARZAKA",20359,17102,17124,3257,0.190445561922582,3235,0.188916141088531
"13","PAKTYA","1314","GARDA SIRAY",9272,9047,9136,225,0.0248701226926053,136,0.0148861646234676
"13","PAKTYA","1315","ROHANI BABA",13969,13466,13491,503,0.0373533343234814,478,0.0354310280928026
"14","KHOST","1401","KHOST (MATON)",73729,68141,68115,5588,0.0820064278481384,5614,0.082419437715628
"14","KHOST","1402","MANDOZAY",19703,18547,18549,1156,0.0623281393217232,1154,0.0622135964202922
"14","KHOST","1403","GURBUZ",14985,13123,13118,1862,0.141888287739084,1867,0.14232352492758
"14","KHOST","1404","TANI",23350,21956,21959,1394,0.063490617598834,1391,0.0633453253791156
"14","KHOST","1405","MOSAKHEL",15052,14336,14328,716,0.0499441964285714,724,0.0505304299274149
"14","KHOST","1406","NADIRSHAHKOT",9312,8741,8748,571,0.0653243336002746,564,0.0644718792866941
"14","KHOST","1407","SABARI",23797,22341,22925,1456,0.0651716574907121,872,0.0380370774263904
"14","KHOST","1408","TIREZAYE",18569,16821,16835,1748,0.10391772189525,1734,0.102999702999703
"14","KHOST","1409","BAK",14666,9823,9822,4843,0.493026570294207,4844,0.493178578700876
"14","KHOST","1410","QALANDAR",7682,7042,7049,640,0.0908832717977847,633,0.0897999716271812
"14","KHOST","1411","SPERA",11655,10306,10308,1349,0.130894624490588,1347,0.130675203725262
"14","KHOST","1412","SHAMAL",6790,6634,6634,156,0.0235152246005427,156,0.0235152246005427
"14","KHOST","1413","JAJIMAYDAN",18826,16189,16192,2637,0.162888380999444,2634,0.162672924901186
"15","KUNARHA","1501","ASADABAD",23402,21058,21010,2344,0.111311615538038,2392,0.113850547358401
"15","KUNARHA","1502","MARAWARA",11507,11032,11057,475,0.0430565627266135,450,0.0406982002351452
"15","KUNARHA","1503","WATAPOOR",5930,4499,4500,1431,0.318070682373861,1430,0.317777777777778
"15","KUNARHA","1504","NARANG",11078,10389,10373,689,0.0663201463085956,705,0.0679649088981008
"15","KUNARHA","1505","SARKANI",17295,15182,15172,2113,0.13917797391648,2123,0.139928816240443
"15","KUNARHA","1506","SHEGAL",15106,14409,14420,697,0.048372544937192,686,0.0475728155339806
"15","KUNARHA","1507","DARAE PECH",17636,14383,14426,3253,0.226169783772509,3210,0.222514903646194
"15","KUNARHA","1508","BARKUNAR",10090,8723,8723,1367,0.156712140318698,1367,0.156712140318698
"15","KUNARHA","1509","SAWKAY",16627,15941,15942,686,0.0430336867197792,685,0.0429682599422908
"15","KUNARHA","1510","KHASKUNAR",17674,16505,16513,1169,0.0708270221145108,1161,0.0703082419911585
"15","KUNARHA","1511","GHAZIABAD",3786,3107,3107,679,0.21853878339234,679,0.21853878339234
"15","KUNARHA","1512","DANGAM",6791,5950,5949,841,0.141344537815126,842,0.141536392671037
"15","KUNARHA","1513","CHAPADARA",6187,3386,3388,2801,0.827229769639693,2799,0.826151121605667
"15","KUNARHA","1514","NORGAL",9200,9059,9054,141,0.015564631857821,146,0.0161254694057875
"15","KUNARHA","1515","NARI",14925,13290,13286,1635,0.123024830699774,1639,0.123362938431432
"15","KUNARHA","1516","SHELTAN",3646,2728,2727,918,0.336510263929619,919,0.337000366703337
"16","NOORESTAN","1601","PAROON",12113,10838,10813,1275,0.117641631297287,1300,0.120225654305003
"16","NOORESTAN","1602","WAYGAL",11199,9538,9526,1661,0.174145523170476,1673,0.175624606340542
"16","NOORESTAN","1603","WAMA",16708,12578,12584,4130,0.328351089203371,4124,0.327717736808646
"16","NOORESTAN","1604","NOORGERAM",13545,10237,10245,3308,0.323141545374621,3300,0.322108345534407
"16","NOORESTAN","1605","DOAB",11144,6612,6633,4532,0.685420447670901,4511,0.680084426353083
"16","NOORESTAN","1606","KAMDESH",10189,6803,6815,3386,0.49772159341467,3374,0.495084372707263
"16","NOORESTAN","1607","MANDOL",4879,0,0,4879,Inf,4879,Inf
"16","NOORESTAN","1608","BARGEMATAL",11291,10462,10477,829,0.079239151213917,814,0.0776939963730075
"17","BADAKHSHAN","1701","FAYZABAD",30527,28499,28186,2028,0.0711603915926875,2341,0.0830554175831973
"17","BADAKHSHAN","1702","ARGO",32995,29679,29734,3316,0.111728831833957,3261,0.109672428869308
"17","BADAKHSHAN","1703","ARGHANCHKHWA",3795,3682,3662,113,0.0306898424769147,133,0.0363189513926816
"17","BADAKHSHAN","1704","YAFTAL SUFLA",23703,21628,21635,2075,0.0959404475679674,2068,0.0955858562514444
"17","BADAKHSHAN","1705","KHASH",10432,9334,9444,1098,0.117634454681808,988,0.104616687844134
"17","BADAKHSHAN","1706","BAHARAK",15846,14229,14248,1617,0.113641155386886,1598,0.112156092083099
"17","BADAKHSHAN","1707","DARAYEM",17977,16169,16193,1808,0.111818912734245,1784,0.110171061569814
"17","BADAKHSHAN","1708","KOHESTAN",3220,3028,3064,192,0.0634081902245707,156,0.0509138381201044
"17","BADAKHSHAN","1709","YAWAN",14529,13307,13362,1222,0.0918313669497257,1167,0.0873372249663224
"17","BADAKHSHAN","1710","JURM",14891,13598,13728,1293,0.0950875128695396,1163,0.084717365967366
"17","BADAKHSHAN","1711","TESHKAN",13205,11982,12039,1223,0.102069771323652,1166,0.0968518979981726
"17","BADAKHSHAN","1712","SHUHADA",9714,9295,9316,419,0.0450779989241528,398,0.0427221983683985
"17","BADAKHSHAN","1713","SHAHR BUZORG",15103,13312,13313,1791,0.134540264423077,1790,0.134455043942012
