"province_code","province_name_eng","total_2019","total_2018","total_change","total_pct","male_2019","male_2018","male_change","male_pct","fem_2019","fem_2018","fem_change","fem_pct","kuchi_2019","kuchi_2018","kuchi_change","kuchi_pct","sikh_2019","sikh_2018","sikh_change","sikh_pct"
"01","KABUL",1632197,1635850,-3653,-0.00223308983097472,1041185,1041755,-570,-0.000547153601374603,522214,525710,-3496,-0.00665005421239847,68039,68062,-23,-0.000337927184038083,759,323,436,1.34984520123839
"02","KAPISA",156640,156876,-236,-0.0015043728804916,99572,99786,-214,-0.00214458942136171,44161,44185,-24,-0.000543170759307457,12907,12905,2,0.000154978690430066,0,0,0,NA
"03","PARWAN",213856,213678,178,0.00083302913730005,139712,138962,750,0.00539715893553633,72958,73537,-579,-0.0078735874457756,1186,1179,7,0.00593723494486853,0,0,0,NA
"04","MAYDANWARDAK",142095,145035,-2940,-0.0202709690764298,100391,102068,-1677,-0.0164302229885958,41090,42351,-1261,-0.0297749757975018,614,616,-2,-0.00324675324675325,0,0,0,NA
"05","LOGAR",101157,101770,-613,-0.00602338606662081,67743,67984,-241,-0.00354495175335373,23662,24027,-365,-0.0151912431847505,9752,9759,-7,-0.000717286607234348,0,0,0,NA
"06","NANGARHAR",807362,807480,-118,-0.000146133650369049,528776,529076,-300,-0.000567026287338681,264893,265057,-164,-0.000618734838166885,13351,13347,4,0.000299692814864764,342,0,342,Inf
"07","LAGHMAN",161557,161668,-111,-0.000686592275527625,110123,110161,-38,-0.000344949664581839,46714,46783,-69,-0.00147489472671697,4720,4724,-4,-0.000846740050804403,0,0,0,NA
"08","PANJSHIR",73438,73766,-328,-0.00444649296423827,42764,43069,-305,-0.00708165966240219,30645,30668,-23,-0.000749967392722056,29,29,0,0,0,0,0,NA
"09","BAGHLAN",412341,414584,-2243,-0.00541024255639388,237169,238343,-1174,-0.00492567434327838,169551,170561,-1010,-0.00592163507484126,5621,5680,-59,-0.010387323943662,0,0,0,NA
"10","BAMYAN",167320,167303,17,0.000101612045211383,82108,82787,-679,-0.0082017708094266,85148,84452,696,0.00824136787761095,64,64,0,0,0,0,0,NA
"12","PAKTIKA",207051,207515,-464,-0.00223598294099222,158406,158858,-452,-0.0028453083886238,38611,38629,-18,-0.000465971161562557,10034,10028,6,0.000598324690865576,0,0,0,NA
"13","PAKTYA",383665,385153,-1488,-0.00386339973984365,222095,222953,-858,-0.00384834471839356,157485,158099,-614,-0.00388364252778322,4085,4082,3,0.000734933855952964,0,19,-19,-1
"14","KHOST",234000,234582,-582,-0.00248100877305164,172381,172406,-25,-0.000145006554296254,55538,56063,-525,-0.00936446497690099,6081,6108,-27,-0.00442043222003929,0,5,-5,-1
"15","KUNARHA",169641,169647,-6,-0.0000353675573396523,108374,108383,-9,-0.0000830388529566445,60978,60976,2,0.0000327997900813435,289,288,1,0.00347222222222222,0,0,0,NA
"16","NOORESTAN",67068,67093,-25,-0.000372617113558792,42124,42143,-19,-0.000450845929335833,24904,24911,-7,-0.000281000361286179,40,39,1,0.0256410256410256,0,0,0,NA
"17","BADAKHSHAN",295795,296029,-234,-0.000790463096520949,171569,171777,-208,-0.00121087223551465,123939,123960,-21,-0.000169409486931268,287,292,-5,-0.0171232876712329,0,0,0,NA
"18","TAKHAR",289178,289197,-19,-0.000065699160088106,152971,152989,-18,-0.00011765551771696,135833,135831,2,0.0000147241793110556,374,377,-3,-0.00795755968169761,0,0,0,NA
"19","KUNDUZ",169802,169800,2,0.0000117785630153121,108832,108822,10,0.0000918931833636581,60843,60852,-9,-0.000147899822520213,127,126,1,0.00793650793650794,0,0,0,NA
"20","SAMANGAN",134207,135378,-1171,-0.0086498544815258,70600,72229,-1629,-0.0225532680779188,63532,63074,458,0.00726131210958557,75,75,0,0,0,0,0,NA
"21","BALKH",447815,447818,-3,-0.00000669915010115717,246816,246833,-17,-0.0000688724765327165,195564,195551,13,0.0000664788213816345,5435,5434,1,0.000184026499815973,0,0,0,NA
"22","SARE PUL",135600,135620,-20,-0.000147470874502286,68374,68433,-59,-0.000862157146405974,66373,66334,39,0.000587933789610155,853,853,0,0,0,0,0,NA
"23","GHOR",238975,238848,127,0.000531718917470525,153039,152907,132,0.000863269830681395,85563,85559,4,0.000046751364555453,373,382,-9,-0.0235602094240838,0,0,0,NA
"24","DAYKUNDI",166942,167404,-462,-0.00275979068600511,75467,75582,-115,-0.00152152628932815,91408,91755,-347,-0.0037818102555719,67,67,0,0,0,0,0,NA
"25","URUZGAN",56325,56329,-4,-0.0000710113795735767,54032,54034,-2,-0.0000370137320946071,1967,1969,-2,-0.00101574403250381,326,326,0,0,0,0,0,NA
"26","ZABUL",64723,64742,-19,-0.000293472552593371,57531,57551,-20,-0.000347517853729735,3363,3364,-1,-0.000297265160523187,3829,3827,2,0.000522602560752548,0,0,0,NA
"27","KANDAHAR",522984,523539,-555,-0.00106009294436518,442512,443077,-565,-0.00127517338972684,67276,67262,14,0.000208141298207011,13196,13200,-4,-0.000303030303030303,0,0,0,NA
"28","JAWZJAN",95154,95100,54,0.00056782334384858,46470,46428,42,0.000904626518480227,48379,48366,13,0.000268783856428069,305,306,-1,-0.00326797385620915,0,0,0,NA
"29","FARYAB",189566,189605,-39,-0.000205690778196778,104454,104478,-24,-0.000229713432492965,84974,84989,-15,-0.000176493428561343,138,138,0,0,0,0,0,NA
"30","HELMAND",306378,306489,-111,-0.000362166342022063,261709,261738,-29,-0.000110797820721485,41679,41756,-77,-0.00184404636459431,2986,2991,-5,-0.00167168171180207,4,4,0,0
"31","BADGHIS",94307,87615,6692,0.0763796153626662,59945,55856,4089,0.0732061014036093,32883,30319,2564,0.0845674329628286,1479,1440,39,0.0270833333333333,0,0,0,NA
"32","HERAT",539141,541886,-2745,-0.00506564111270636,297391,299371,-1980,-0.00661386707463315,239818,240585,-767,-0.00318806243115739,1932,1930,2,0.00103626943005181,0,0,0,NA
"33","FARAH",65825,63153,2672,0.0423099456874574,42692,40909,1783,0.0435845412989807,22581,21689,892,0.0411268384895569,552,555,-3,-0.00540540540540541,0,0,0,NA
"34","NIMROZ",92603,92599,4,0.0000431970107668549,65068,65065,3,0.0000461077384154307,26609,26609,0,0,926,925,1,0.00108108108108108,0,0,0,NA
